0	Porn is wrong. After indulging in it, one may feel guilt for wasting time, energy, and effort, as well as a sense of regret for having started. It is similar to smoking and drugs in that it is not a healthy activity to engage in. Its lack of prohibition in many developed countries is likely due to the population’s aging.
1	No, I haven't, but it sounds like it might be a friend in need. Services such as pro-bono places and low-income based legal services may be able to help. You would be surprised at what some places consider low income. My sister's husband brings home at least $400 a week in winter and at least $600 a week in summer, and they have a 3-person household, yet they still get help from WIC, daycare assistance, food stamps, and more. Tell her or help her find these services.
2	Sadism as the practice of violence or cruelty against others to fulfil some sort of personal or sexual gratification is, in my opinion, the most sickening act a person can commit. In order to commit such an act, the person must be subjugated and therefore weaker than the active participant, thus compounding the act of violence. This is "evil".  However where both, or all individuals are consenting active participants, I believe this to be a form of masochism, albeit from the hands of another. Although this statement may seem to be an oxymoron, if you pursue pain and violence, and consequently receive it from the hands of another, is this not just "assisted" masochism? (a la assisted suicide) Although these individuals may be strange, what two (or more) consenting adults do in private is no concern of mine. Pain and pleasure exist together, and should not be prohibited, especially in the privacy of ones own home. Pick this apart at your will.
3	We should invest resources in researching animal combinations as it could lead to interesting outcomes, such as a half gorilla-half octopus. Although the "don't play god" argument can be raised, I am not concerned about any potential consequences as I believe the potential result would be worth the effort. Imagining a chicken-turtle hybrid roaming around your house could be quite amusing.
4	Gun control laws are largely ineffective and only serve to make law-abiding citizens less able to defend themselves, while criminals can still obtain guns with ease. Meanwhile, statistics show that when citizens are armed, crime rates drop. The Second Amendment is designed to ensure that citizens can protect themselves against an out of control government, and hunting rifles are not a match for machine guns.
5	Being horny is a sin, wanking is a sin, having sex with your girlfriend is a sin, raping is a sin. Teaching morals not religion should be emphasized, as religion teaches that natural feelings are wrong. Putting these concepts together and labelling them as "sin" could potentially be one of the reasons rape is high in the Middle East and Asia. We should teach morals, not religion.
6	Lesbians are more accepted by straight people than gay men because of societal views on male/female relationships. Additionally, gay women are seen as more "socially acceptable" than gay men due to traditional gender roles that position women as inferior to men. However, gay men are discriminated against due to their romantic interest in men, which is seen as a violation of traditional gender roles.
7	This guy's argument has valid points. We should be more aware of China's oppressive policies, despite our economic relations with them. Slavery is still a common occurrence in many outsourced labor industries, and we should take notice and take action.
8	I agree that it was not ethical and was even insensitive, but they were done in response to the suicide bombers and they certainly don't respect others beliefs and truths. What is the difference? You do not see all the people (muslims) who are not suicide bombers protesting about the suicide bombers when Islam, so we are told, is a peaceful religion. It is the suicide bombers who have no respect for others beliefs...they are even killing fellow Muslims in Iraq but I don't see anybody protesting about that. I was referring to the suicide bombers and not Muslims as a whole.
9	Life is not fair, and it is important to learn this lesson early on. People who take what they want and play to win are often successful, even if they are not very kind or compassionate. On the other hand, being a selfish asshole may get you short-term success, but it does not lead to a fulfilling or happy life. Doing the right thing and being good to people does not always lead to material success, but it will lead to a more satisfied and meaningful life.
